,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
184012,1716,B27,Rated Bullet game,Sicilian Defense: Hyperaccelerated Pterodactyl,1-0,Time forfeit,60+0,1695,,,,Bullet,Sicilian Defense,27238,-21,1705.5
184021,1819,A43,Rated Bullet game,Old Benoni Defense,0-1,Normal,60+0,1863,,,,Bullet,Old Benoni Defense,867,44,1841.0
184051,1835,A01,Rated Bullet game,Nimzo-Larsen Attack: Modern Variation #2,1-0,Time forfeit,120+1,1925,,,,Bullet,Nimzo-Larsen Attack,2228,90,1880.0
184062,1839,C31,Rated Bullet game,"King's Gambit, Falkbeer Countergambit, Blackburne Attack",0-1,Time forfeit,60+0,1825,,,,Bullet,King's Gambit,591,-14,1832.0
184064,2077,B12,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Caro-Kann Defense: MarÃ³czy Variation,0-1,Normal,60+0,2003,,,,Bullet,Caro-Kann Defense,6878,-74,2040.0
184068,1991,D00,Rated Bullet game,Blackmar-Diemer Gambit: Zeller Defense,0-1,Normal,60+0,1982,,,,Bullet,Blackmar-Diemer Gambit,631,-9,1986.5
184071,1697,D06,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Queen's Gambit Refused: Austrian Defense,1-0,Normal,60+0,1715,,,,Bullet,Queen's Gambit Declined,2704,18,1706.0
184080,1854,B07,Rated Bullet game,Pirc Defense #4,0-1,Normal,60+0,1919,,,,Bullet,Pirc Defense,2814,65,1886.5
184101,2011,B07,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Pirc Defense,1-0,Time forfeit,60+0,2124,,,,Bullet,Pirc Defense,2814,113,2067.5
184106,2102,B29,Rated Bullet game,Sicilian Defense: Nimzowitsch Variation,0-1,Normal,60+0,1835,,,,Bullet,Sicilian Defense,27238,-267,1968.5
184110,1946,A00,Rated UltraBullet tournament https://lichess.org/tournament/6XnsxsfS,Mieses Opening,0-1,Normal,15+0,1873,,,,Bullet,Mieses Opening,881,-73,1909.5
184112,1870,E92,Rated Bullet game,"King's Indian Defense: Petrosian Variation, Stein Defense",0-1,Normal,120+1,1813,,,,Bullet,King's Indian Defense,2170,-57,1841.5
184119,2207,A02,Rated Bullet game,Bird Opening,1-0,Normal,60+0,2026,,,,Bullet,Bird Opening,1581,-181,2116.5
184124,1930,A04,Rated Bullet game,Zukertort Opening: Sicilian Invitation,0-1,Normal,60+0,1932,,,,Bullet,Zukertort Opening,3388,2,1931.0
184162,2026,D10,Rated Bullet game,Slav Defense,1-0,Time forfeit,30+0,1991,,,,Bullet,Slav Defense,2437,-35,2008.5
184165,1793,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,0-1,Normal,60+0,1848,,,,Bullet,Scandinavian Defense,7890,55,1820.5
184166,1876,A40,Rated Bullet game,Queen's Pawn,1-0,Normal,120+1,1932,,,,Bullet,Queen's Pawn Game,1407,56,1904.0
184194,2090,A01,Rated Bullet game,Nimzo-Larsen Attack: English Variation,0-1,Normal,120+1,1962,,,,Bullet,Nimzo-Larsen Attack,2228,-128,2026.0
184206,2246,B21,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Sicilian Defense: McDonnell Attack,0-1,Normal,60+0,1951,,,,Bullet,Sicilian Defense,27238,-295,2098.5
184209,1840,B28,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Sicilian Defense: O'Kelly Variation,0-1,Time forfeit,60+0,1620,,,,Bullet,Sicilian Defense,27238,-220,1730.0
184222,1804,C00,Rated Bullet game,French Defense: Normal Variation,1-0,Normal,120+1,1840,,,,Bullet,French Defense,13036,36,1822.0
184238,1871,C00,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,French Defense,0-1,Normal,60+0,2024,,,,Bullet,French Defense,13036,153,1947.5
184253,1824,B12,Rated Bullet game,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",0-1,Time forfeit,60+0,1841,,,,Bullet,Caro-Kann Defense,6878,17,1832.5
184259,1671,C50,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1-0,Time forfeit,60+0,1886,,,,Bullet,Italian Game,8617,215,1778.5
184260,1892,C00,Rated Bullet game,French Defense: Knight Variation,0-1,Normal,120+1,1888,,,,Bullet,French Defense,13036,-4,1890.0
184276,1670,B27,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Sicilian Defense: Hyperaccelerated Pterodactyl,1-0,Normal,60+0,2123,,,,Bullet,Sicilian Defense,27238,453,1896.5
184285,1764,A40,Rated UltraBullet game,Horwitz Defense,0-1,Time forfeit,15+0,1791,,,,Bullet,Horwitz Defense,2191,27,1777.5
184335,2038,B00,Rated Bullet game,Nimzowitsch Defense,0-1,Normal,60+0,1978,,,,Bullet,Nimzowitsch Defense,2364,-60,2008.0
184347,1843,A80,Rated Bullet game,Dutch Defense,0-1,Time forfeit,60+0,1686,,,,Bullet,Dutch Defense,1126,-157,1764.5
184361,1827,A40,Rated Bullet tournament https://lichess.org/tournament/RNj3EiU9,English Defense #2,1-0,Normal,120+0,1713,,,,Bullet,English Defense,795,-114,1770.0
184385,1806,A02,Rated Bullet game,Bird Opening,1-0,Time forfeit,0+1,1922,,,,Bullet,Bird Opening,1581,116,1864.0
184397,1799,B15,Rated Bullet game,Caro-Kann Defense: Main Line,0-1,Time forfeit,60+1,1870,,,,Bullet,Caro-Kann Defense,6878,71,1834.5
184400,1716,A00,Rated Bullet game,Van't Kruijs Opening,1-0,Time forfeit,60+0,1711,,,,Bullet,Van't Kruijs Opening,2719,-5,1713.5
184476,1763,C02,Rated Bullet game,French Defense: Advance Variation #3,0-1,Normal,120+1,1757,,,,Bullet,French Defense,13036,-6,1760.0
184481,2435,A60,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,"Benoni Defense: Modern Variation, Snake Variation",0-1,Time forfeit,60+0,1982,,,,Bullet,Benoni Defense,1124,-453,2208.5
184488,1947,B10,Rated Bullet game,Caro-Kann Defense: Two Knights Attack,0-1,Time forfeit,60+0,1905,,,,Bullet,Caro-Kann Defense,6878,-42,1926.0
184508,1721,C30,Rated Bullet game,King's Gambit,0-1,Normal,60+0,1785,,,,Bullet,King's Gambit,591,64,1753.0
184511,1782,A51,Rated Bullet game,Indian Game: Budapest Defense,1-0,Normal,60+0,1869,,,,Bullet,Indian Game,4090,87,1825.5
184524,2582,C50,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Giuoco Piano,0-1,Normal,60+0,2786,,GM,,Bullet,Giuoco Piano,759,204,2684.0
184541,1942,A10,Rated Bullet game,English Opening: Anglo-Scandinavian Defense,0-1,Time forfeit,60+0,1893,,,,Bullet,English Opening,7494,-49,1917.5
184550,2066,C55,Rated Bullet tournament https://lichess.org/tournament/gZANHFNU,Italian Game: Deutz Gambit,0-1,Time forfeit,60+0,1632,,,,Bullet,Italian Game,8617,-434,1849.0
